"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5164428","SRX5164428","SRR8353566","SAMN10615505","4-14-1001-15","4-14-1001-15","4-14-1001-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-15","Collection Country: USA Collection Year: 2012"
"SRX5164429","SRX5164429","SRR8353567","SAMN10615506","4-14-1002-15","4-14-1002-15","4-14-1002-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-15","Collection Country: USA Collection Year: 2012"
"SRX5164430","SRX5164430","SRR8353568","SAMN10615507","4-14-1001-10","4-14-1001-10","4-14-1001-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-10","Collection Country: USA Collection Year: 2012"
"SRX5164431","SRX5164431","SRR8353569","SAMN10615508","4-14-1002-10","4-14-1002-10","4-14-1002-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-10","Collection Country: USA Collection Year: 2011"
"SRX5164432","SRX5164432","SRR8353570","SAMN10615509","4-14-1002-20","4-14-1002-20","4-14-1002-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-20","Collection Country: USA Collection Year: 2012"
"SRX5164433","SRX5164433","SRR8353571","SAMN10615510","4-14-1001-25","4-14-1001-25","4-14-1001-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-25","Collection Country: USA Collection Year: 2012"
"SRX5164434","SRX5164434","SRR8353572","SAMN10615511","4-14-1001-05","4-14-1001-05","4-14-1001-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-05","Collection Country: USA Collection Year: 2011"
"SRX5164435","SRX5164435","SRR8353573","SAMN10615512","4-14-1002-05","4-14-1002-05","4-14-1002-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-05","Collection Country: USA Collection Year: 2011"
"SRX5164436","SRX5164436","SRR8353574","SAMN10615513","4-14-1001-20","4-14-1001-20","4-14-1001-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-20","Collection Country: USA Collection Year: 2012"
"SRX5164437","SRX5164437","SRR8353575","SAMN10615514","4-14-1003-05","4-14-1003-05","4-14-1003-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-05","Collection Country: USA Collection Year: 2011"
"SRX5164438","SRX5164438","SRR8353576","SAMN10615515","4-14-1003-25","4-14-1003-25","4-14-1003-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-25","Collection Country: USA Collection Year: 2012"
"SRX5164439","SRX5164439","SRR8353577","SAMN10615516","4-14-1002-25","4-14-1002-25","4-14-1002-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-25","Collection Country: USA Collection Year: 2012"
"SRX5164440","SRX5164440","SRR8353578","SAMN10615517","4-14-1003-20","4-14-1003-20","4-14-1003-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-20","Collection Country: USA Collection Year: 2012"
"SRX5164441","SRX5164441","SRR8353579","SAMN10615518","4-14-1004-10","4-14-1004-10","4-14-1004-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1004-10","Collection Country: USA Collection Year: 2011"
