"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX5164428","data/fastq/SRX5164428_SRR8353566_1.fastq.gz","data/fastq/SRX5164428_SRR8353566_2.fastq.gz","SRR8353566","SRX5164428","SAMN10615505","SRS4173228","PRJNA510445","SRP173922","SRA824991","4-14-1001-15","4-14-1001-15","4-14-1001-15","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1001-15","Illumina HiSeq 2000","ILLUMINA","2599002392","14080087","408170","human gut metagenome","4-14-1001-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2012","013e38975b65689382ad73998b718a94;9bb741f187a2c4260f44921472668205","742546881;756856112","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8353566/SRR8353566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8353566/SRR8353566_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8353566/SRR8353566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8353566/SRR8353566_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/006/SRR8353566/SRR8353566_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/006/SRR8353566/SRR8353566_2.fastq.gz"
"SRX5164429","data/fastq/SRX5164429_SRR8353567_1.fastq.gz","data/fastq/SRX5164429_SRR8353567_2.fastq.gz","SRR8353567","SRX5164429","SAMN10615506","SRS4173229","PRJNA510445","SRP173922","SRA824991","4-14-1002-15","4-14-1002-15","4-14-1002-15","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1002-15","Illumina HiSeq 2000","ILLUMINA","1791290534","9726058","408170","human gut metagenome","4-14-1002-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2012","958e1b1bfed4637a51a5daba2256653d;6377291ca2e8fdde89e75299877b4e5d","515348909;525149772","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8353567/SRR8353567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8353567/SRR8353567_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8353567/SRR8353567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8353567/SRR8353567_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/007/SRR8353567/SRR8353567_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/007/SRR8353567/SRR8353567_2.fastq.gz"
"SRX5164430","data/fastq/SRX5164430_SRR8353568_1.fastq.gz","data/fastq/SRX5164430_SRR8353568_2.fastq.gz","SRR8353568","SRX5164430","SAMN10615507","SRS4173230","PRJNA510445","SRP173922","SRA824991","4-14-1001-10","4-14-1001-10","4-14-1001-10","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1001-10","Illumina HiSeq 2000","ILLUMINA","1348996386","7345344","408170","human gut metagenome","4-14-1001-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2012","e4d8597ba1ebc4706416788c8363830a;7978ad570791a1479abe3f220c06711e","397708924;408124849","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8353568/SRR8353568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8353568/SRR8353568_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8353568/SRR8353568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8353568/SRR8353568_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/008/SRR8353568/SRR8353568_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/008/SRR8353568/SRR8353568_2.fastq.gz"
"SRX5164431","data/fastq/SRX5164431_SRR8353569_1.fastq.gz","data/fastq/SRX5164431_SRR8353569_2.fastq.gz","SRR8353569","SRX5164431","SAMN10615508","SRS4173231","PRJNA510445","SRP173922","SRA824991","4-14-1002-10","4-14-1002-10","4-14-1002-10","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1002-10","Illumina HiSeq 2000","ILLUMINA","1350476900","7382674","408170","human gut metagenome","4-14-1002-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2011","d179d92ae42222c56ed95503111de28b;dcf66eb7c5c119883445fbce6e3c159f","377227718;383440325","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8353569/SRR8353569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8353569/SRR8353569_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8353569/SRR8353569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8353569/SRR8353569_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/009/SRR8353569/SRR8353569_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/009/SRR8353569/SRR8353569_2.fastq.gz"
"SRX5164432","data/fastq/SRX5164432_SRR8353570_1.fastq.gz","data/fastq/SRX5164432_SRR8353570_2.fastq.gz","SRR8353570","SRX5164432","SAMN10615509","SRS4173232","PRJNA510445","SRP173922","SRA824991","4-14-1002-20","4-14-1002-20","4-14-1002-20","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1002-20","Illumina HiSeq 2000","ILLUMINA","2357518222","12841104","408170","human gut metagenome","4-14-1002-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2012","e79daa7e230b37713bdec3206ce603d7;282a714bce803868b44f0a82c525f8c2","654229467;660928803","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8353570/SRR8353570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8353570/SRR8353570_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8353570/SRR8353570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8353570/SRR8353570_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/000/SRR8353570/SRR8353570_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/000/SRR8353570/SRR8353570_2.fastq.gz"
"SRX5164433","data/fastq/SRX5164433_SRR8353571_1.fastq.gz","data/fastq/SRX5164433_SRR8353571_2.fastq.gz","SRR8353571","SRX5164433","SAMN10615510","SRS4173233","PRJNA510445","SRP173922","SRA824991","4-14-1001-25","4-14-1001-25","4-14-1001-25","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1001-25","Illumina HiSeq 2000","ILLUMINA","1663903080","9019079","408170","human gut metagenome","4-14-1001-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2012","5c9ba94bee7cb7d90e631c24156b6434;fa36e0bd122eaf044d2cb021590174d9","481963644;493768476","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8353571/SRR8353571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8353571/SRR8353571_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8353571/SRR8353571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8353571/SRR8353571_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/001/SRR8353571/SRR8353571_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/001/SRR8353571/SRR8353571_2.fastq.gz"
"SRX5164434","data/fastq/SRX5164434_SRR8353572_1.fastq.gz","data/fastq/SRX5164434_SRR8353572_2.fastq.gz","SRR8353572","SRX5164434","SAMN10615511","SRS4173234","PRJNA510445","SRP173922","SRA824991","4-14-1001-05","4-14-1001-05","4-14-1001-05","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1001-05","Illumina HiSeq 2000","ILLUMINA","1155813557","6267657","408170","human gut metagenome","4-14-1001-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2011","248ff0750eeab7d8a96bfa03a6694297;15821d43a52561e1c868645be2843667","326924055;334614290","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8353572/SRR8353572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8353572/SRR8353572_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8353572/SRR8353572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8353572/SRR8353572_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/002/SRR8353572/SRR8353572_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/002/SRR8353572/SRR8353572_2.fastq.gz"
"SRX5164435","data/fastq/SRX5164435_SRR8353573_1.fastq.gz","data/fastq/SRX5164435_SRR8353573_2.fastq.gz","SRR8353573","SRX5164435","SAMN10615512","SRS4173235","PRJNA510445","SRP173922","SRA824991","4-14-1002-05","4-14-1002-05","4-14-1002-05","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1002-05","Illumina HiSeq 2000","ILLUMINA","1645537085","8970143","408170","human gut metagenome","4-14-1002-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2011","23ef48a0d79c6c6308d17d93a2d2d505;9d2aa49d011ecbe6143ec6918d6076f9","475655982;486073204","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8353573/SRR8353573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8353573/SRR8353573_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8353573/SRR8353573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8353573/SRR8353573_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/003/SRR8353573/SRR8353573_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/003/SRR8353573/SRR8353573_2.fastq.gz"
"SRX5164436","data/fastq/SRX5164436_SRR8353574_1.fastq.gz","data/fastq/SRX5164436_SRR8353574_2.fastq.gz","SRR8353574","SRX5164436","SAMN10615513","SRS4173236","PRJNA510445","SRP173922","SRA824991","4-14-1001-20","4-14-1001-20","4-14-1001-20","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1001-20","Illumina HiSeq 2000","ILLUMINA","2037012899","11056623","408170","human gut metagenome","4-14-1001-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2012","a73097fdd53fb75ded3de9b548e71479;8381d4466c6bc4d4758267194404b1aa","591162615;602881590","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8353574/SRR8353574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8353574/SRR8353574_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8353574/SRR8353574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8353574/SRR8353574_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/004/SRR8353574/SRR8353574_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/004/SRR8353574/SRR8353574_2.fastq.gz"
"SRX5164437","data/fastq/SRX5164437_SRR8353575_1.fastq.gz","data/fastq/SRX5164437_SRR8353575_2.fastq.gz","SRR8353575","SRX5164437","SAMN10615514","SRS4173237","PRJNA510445","SRP173922","SRA824991","4-14-1003-05","4-14-1003-05","4-14-1003-05","PRJNA510445","PAIRED","RANDOM","METAGENOMIC","WGS","4-14-1003-05","Illumina HiSeq 2000","ILLUMINA","3567566075","19284109","408170","human gut metagenome","4-14-1003-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","The relationship of fecal microbiomes and nutritional status in cystic fibrosis","Collection Country: USA Collection Year: 2011","04d0bff3b44e108acbb8f81e1c1b7f82;339ff6961f402f4257c7399b23b6b7f2","995824747;1025073371","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/005/SRR8353575/SRR8353575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/005/SRR8353575/SRR8353575_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/005/SRR8353575/SRR8353575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/005/SRR8353575/SRR8353575_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/005/SRR8353575/SRR8353575_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/005/SRR8353575/SRR8353575_2.fastq.gz"
