sample,run,group,short_reads_1,short_reads_2
3108596,3108596,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80124_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80124_R2.fastq.gz
3114327,3114327,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79049_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79049_R2.fastq.gz
3106237,3106237,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78999_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78999_R2.fastq.gz
3106384,3106384,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45069_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45069_R2.fastq.gz
3101140,3101140,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45078_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45078_R2.fastq.gz
3113118,3113118,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45117_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45117_R2.fastq.gz
3113114,3113114,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45118_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45118_R2.fastq.gz
3113627,3113627,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45119_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45119_R2.fastq.gz
3113111,3113111,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45120_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45120_R2.fastq.gz
3000110,3000110,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79041_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79041_R2.fastq.gz
3113069,3113069,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80162_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80162_R2.fastq.gz
3101279,3101279,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78966_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78966_R2.fastq.gz
3114230,3114230,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78967_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78967_R2.fastq.gz
3107293,3107293,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80513_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80513_R2.fastq.gz
3000144,3000144,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80490_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80490_R2.fastq.gz
3101046,3101046,0,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80538_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80538_R2.fastq.gz
