sample,run_accession,instrument_platform,fastq_1,fastq_2
3108596,3108596,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80124_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80124_R2.fastq.gz
3114327,3114327,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79049_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79049_R2.fastq.gz
3106237,3106237,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78999_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78999_R2.fastq.gz
3106384,3106384,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45069_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45069_R2.fastq.gz
3101140,3101140,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45078_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45078_R2.fastq.gz
3113118,3113118,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45117_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45117_R2.fastq.gz
3113114,3113114,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45118_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45118_R2.fastq.gz
3113627,3113627,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45119_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45119_R2.fastq.gz
3113111,3113111,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45120_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45120_R2.fastq.gz
3000110,3000110,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79041_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79041_R2.fastq.gz
3113069,3113069,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80162_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80162_R2.fastq.gz
3101279,3101279,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78966_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78966_R2.fastq.gz
3114230,3114230,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78967_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78967_R2.fastq.gz
3107293,3107293,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80513_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80513_R2.fastq.gz
3000144,3000144,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80490_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80490_R2.fastq.gz
3101046,3101046,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80538_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80538_R2.fastq.gz
3107294,3107294,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80537_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80537_R2.fastq.gz
3113022,3113022,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80322_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80322_R2.fastq.gz
3101193,3101193,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80541_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80541_R2.fastq.gz
3101190,3101190,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G90147_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G90147_R2.fastq.gz
3113030,3113030,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78823_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78823_R2.fastq.gz
