SRR9843650	sra-paired:SRR9843650
SRR9843651	sra-paired:SRR9843651
SRR9843652	sra-paired:SRR9843652
SRR9843653	sra-paired:SRR9843653
SRR9843654	sra-paired:SRR9843654
SRR9843655	sra-paired:SRR9843655
SRR9843656	sra-paired:SRR9843656
SRR9843657	sra-paired:SRR9843657
SRR9843658	sra-paired:SRR9843658
SRR9843659	sra-paired:SRR9843659
SRR9843660	sra-paired:SRR9843660
SRR9843661	sra-paired:SRR9843661
SRR9843662	sra-paired:SRR9843662
SRR9843663	sra-paired:SRR9843663
SRR9843664	sra-paired:SRR9843664
SRR9843665	sra-paired:SRR9843665
SRR9843666	sra-paired:SRR9843666
SRR9843667	sra-paired:SRR9843667
SRR9843668	sra-paired:SRR9843668
SRR9843669	sra-paired:SRR9843669
SRR9843670	sra-paired:SRR9843670
SRR9843671	sra-paired:SRR9843671
SRR9843672	sra-paired:SRR9843672
SRR9843673	sra-paired:SRR9843673
SRR9843674	sra-paired:SRR9843674
SRR9843675	sra-paired:SRR9843675
SRR9843676	sra-paired:SRR9843676
SRR9843677	sra-paired:SRR9843677
SRR9843678	sra-paired:SRR9843678
SRR9843679	sra-paired:SRR9843679
SRR9843680	sra-paired:SRR9843680
SRR9843681	sra-paired:SRR9843681
SRR9843682	sra-paired:SRR9843682
SRR9843683	sra-paired:SRR9843683
SRR9843684	sra-paired:SRR9843684
SRR9843685	sra-paired:SRR9843685
SRR9843686	sra-paired:SRR9843686
SRR9843687	sra-paired:SRR9843687
SRR9843688	sra-paired:SRR9843688
SRR9843689	sra-paired:SRR9843689
SRR9843690	sra-paired:SRR9843690
SRR9843691	sra-paired:SRR9843691
SRR9843692	sra-paired:SRR9843692
SRR9843693	sra-paired:SRR9843693
SRR9843694	sra-paired:SRR9843694
SRR9843695	sra-paired:SRR9843695
SRR9843696	sra-paired:SRR9843696
SRR9843697	sra-paired:SRR9843697
SRR9843698	sra-paired:SRR9843698
SRR9843699	sra-paired:SRR9843699
SRR9843700	sra-paired:SRR9843700
SRR9843701	sra-paired:SRR9843701
SRR9843702	sra-paired:SRR9843702
SRR9843703	sra-paired:SRR9843703
SRR9843704	sra-paired:SRR9843704
SRR9843705	sra-paired:SRR9843705
SRR9843706	sra-paired:SRR9843706
SRR9843707	sra-paired:SRR9843707
SRR9843708	sra-paired:SRR9843708
SRR9843709	sra-paired:SRR9843709
SRR9843710	sra-paired:SRR9843710
SRR9843711	sra-paired:SRR9843711
SRR9843712	sra-paired:SRR9843712
SRR9843713	sra-paired:SRR9843713
SRR9843714	sra-paired:SRR9843714
SRR9843715	sra-paired:SRR9843715
SRR9843716	sra-paired:SRR9843716
SRR9843717	sra-paired:SRR9843717
SRR9843718	sra-paired:SRR9843718
SRR9843719	sra-paired:SRR9843719
SRR9843720	sra-paired:SRR9843720
SRR9843721	sra-paired:SRR9843721
SRR9843722	sra-paired:SRR9843722
SRR9843723	sra-paired:SRR9843723
SRR9843724	sra-paired:SRR9843724
SRR9843725	sra-paired:SRR9843725
SRR9843726	sra-paired:SRR9843726
SRR9843727	sra-paired:SRR9843727
SRR9843728	sra-paired:SRR9843728
SRR9843729	sra-paired:SRR9843729
SRR9843730	sra-paired:SRR9843730
SRR9843731	sra-paired:SRR9843731
SRR9843732	sra-paired:SRR9843732
SRR9843733	sra-paired:SRR9843733
SRR9843734	sra-paired:SRR9843734
SRR9843735	sra-paired:SRR9843735
SRR9843736	sra-paired:SRR9843736
SRR9843737	sra-paired:SRR9843737
SRR9843738	sra-paired:SRR9843738
SRR9843739	sra-paired:SRR9843739
SRR9843740	sra-paired:SRR9843740
SRR9843741	sra-paired:SRR9843741
SRR9843742	sra-paired:SRR9843742
SRR9843743	sra-paired:SRR9843743
SRR9843744	sra-paired:SRR9843744
SRR9843745	sra-paired:SRR9843745
SRR9843746	sra-paired:SRR9843746
SRR9843747	sra-paired:SRR9843747
SRR9843748	sra-paired:SRR9843748
SRR9843749	sra-paired:SRR9843749
SRR9843750	sra-paired:SRR9843750
SRR9843751	sra-paired:SRR9843751
SRR9843752	sra-paired:SRR9843752
SRR9843753	sra-paired:SRR9843753
SRR9843754	sra-paired:SRR9843754
SRR9843755	sra-paired:SRR9843755
SRR9843756	sra-paired:SRR9843756
SRR9843757	sra-paired:SRR9843757
SRR9843758	sra-paired:SRR9843758
SRR9843759	sra-paired:SRR9843759
SRR9843760	sra-paired:SRR9843760
SRR9843761	sra-paired:SRR9843761
SRR9843762	sra-paired:SRR9843762
SRR9843763	sra-paired:SRR9843763
SRR9843764	sra-paired:SRR9843764
SRR9843765	sra-paired:SRR9843765
SRR9843766	sra-paired:SRR9843766
SRR9843767	sra-paired:SRR9843767
SRR9843768	sra-paired:SRR9843768
SRR9843769	sra-paired:SRR9843769
SRR9843770	sra-paired:SRR9843770
SRR9843771	sra-paired:SRR9843771
SRR9843772	sra-paired:SRR9843772
SRR9843773	sra-paired:SRR9843773
SRR9843774	sra-paired:SRR9843774
SRR9843775	sra-paired:SRR9843775
SRR9843776	sra-paired:SRR9843776
SRR9843777	sra-paired:SRR9843777
SRR9843778	sra-paired:SRR9843778
SRR9843779	sra-paired:SRR9843779
SRR9843780	sra-paired:SRR9843780
SRR9843781	sra-paired:SRR9843781
SRR9843782	sra-paired:SRR9843782
SRR9843783	sra-paired:SRR9843783
SRR9843784	sra-paired:SRR9843784
SRR9843785	sra-paired:SRR9843785
SRR9843786	sra-paired:SRR9843786
SRR9843787	sra-paired:SRR9843787
SRR9843788	sra-paired:SRR9843788
SRR9843789	sra-paired:SRR9843789
SRR9843790	sra-paired:SRR9843790
SRR9843791	sra-paired:SRR9843791
SRR9843792	sra-paired:SRR9843792
SRR9843793	sra-paired:SRR9843793
SRR9843794	sra-paired:SRR9843794
SRR9843795	sra-paired:SRR9843795
SRR9843796	sra-paired:SRR9843796
SRR9843797	sra-paired:SRR9843797
SRR9843798	sra-paired:SRR9843798
SRR9843799	sra-paired:SRR9843799
SRR9843800	sra-paired:SRR9843800
SRR9843801	sra-paired:SRR9843801
SRR9843802	sra-paired:SRR9843802
SRR9843803	sra-paired:SRR9843803
SRR9843804	sra-paired:SRR9843804
SRR9843805	sra-paired:SRR9843805
SRR9843806	sra-paired:SRR9843806
SRR9843807	sra-paired:SRR9843807
SRR9843808	sra-paired:SRR9843808
SRR9843809	sra-paired:SRR9843809
SRR9843810	sra-paired:SRR9843810
SRR9843811	sra-paired:SRR9843811
SRR9843812	sra-paired:SRR9843812
SRR9843813	sra-paired:SRR9843813
SRR9843814	sra-paired:SRR9843814
SRR9843815	sra-paired:SRR9843815
SRR9843816	sra-paired:SRR9843816
SRR9843817	sra-paired:SRR9843817
SRR9843818	sra-paired:SRR9843818
SRR9843819	sra-paired:SRR9843819
SRR9843820	sra-paired:SRR9843820
SRR9843821	sra-paired:SRR9843821
SRR9843822	sra-paired:SRR9843822
SRR9843823	sra-paired:SRR9843823
SRR9843824	sra-paired:SRR9843824
SRR9843825	sra-paired:SRR9843825
SRR9843826	sra-paired:SRR9843826
SRR9843827	sra-paired:SRR9843827
SRR9843828	sra-paired:SRR9843828
SRR9843829	sra-paired:SRR9843829
SRR9843830	sra-paired:SRR9843830
SRR9843831	sra-paired:SRR9843831
SRR9843832	sra-paired:SRR9843832
SRR9843833	sra-paired:SRR9843833
SRR9843834	sra-paired:SRR9843834
SRR9843835	sra-paired:SRR9843835
SRR9843836	sra-paired:SRR9843836
SRR9843837	sra-paired:SRR9843837
SRR9843838	sra-paired:SRR9843838
SRR9843839	sra-paired:SRR9843839
SRR9843840	sra-paired:SRR9843840
SRR9843841	sra-paired:SRR9843841
SRR9843842	sra-paired:SRR9843842
SRR9843843	sra-paired:SRR9843843
SRR9843844	sra-paired:SRR9843844
SRR9843845	sra-paired:SRR9843845
SRR9843846	sra-paired:SRR9843846
SRR9843847	sra-paired:SRR9843847
SRR9843848	sra-paired:SRR9843848
SRR9843849	sra-paired:SRR9843849
SRR9843850	sra-paired:SRR9843850
SRR9843851	sra-paired:SRR9843851
SRR9843852	sra-paired:SRR9843852
SRR9843853	sra-paired:SRR9843853
SRR9843854	sra-paired:SRR9843854
SRR9843855	sra-paired:SRR9843855
SRR9843856	sra-paired:SRR9843856
SRR9843857	sra-paired:SRR9843857
SRR9843858	sra-paired:SRR9843858
SRR9843859	sra-paired:SRR9843859
SRR9843860	sra-paired:SRR9843860
SRR9843861	sra-paired:SRR9843861
SRR9843862	sra-paired:SRR9843862
SRR9843863	sra-paired:SRR9843863
SRR9843864	sra-paired:SRR9843864
SRR9843865	sra-paired:SRR9843865
SRR9843866	sra-paired:SRR9843866
SRR9843867	sra-paired:SRR9843867
SRR9843868	sra-paired:SRR9843868
SRR9843869	sra-paired:SRR9843869
SRR9843870	sra-paired:SRR9843870
SRR9843871	sra-paired:SRR9843871
SRR9843872	sra-paired:SRR9843872
SRR9843873	sra-paired:SRR9843873
SRR9843874	sra-paired:SRR9843874
SRR9843875	sra-paired:SRR9843875
SRR9843876	sra-paired:SRR9843876
SRR9843877	sra-paired:SRR9843877
SRR9843878	sra-paired:SRR9843878
SRR9843879	sra-paired:SRR9843879
SRR9843880	sra-paired:SRR9843880
SRR9843881	sra-paired:SRR9843881
SRR9843882	sra-paired:SRR9843882
SRR9843883	sra-paired:SRR9843883
SRR9843884	sra-paired:SRR9843884
SRR9843885	sra-paired:SRR9843885
SRR9843886	sra-paired:SRR9843886
SRR9843887	sra-paired:SRR9843887
SRR9843888	sra-paired:SRR9843888
SRR9843889	sra-paired:SRR9843889
SRR9843890	sra-paired:SRR9843890
SRR9843891	sra-paired:SRR9843891
SRR9843892	sra-paired:SRR9843892
SRR9843893	sra-paired:SRR9843893
SRR9843894	sra-paired:SRR9843894
SRR9843895	sra-paired:SRR9843895
SRR9843896	sra-paired:SRR9843896
SRR9843897	sra-paired:SRR9843897
SRR9843898	sra-paired:SRR9843898
SRR9843899	sra-paired:SRR9843899
SRR9843900	sra-paired:SRR9843900
SRR9843901	sra-paired:SRR9843901
SRR9843902	sra-paired:SRR9843902
SRR9843903	sra-paired:SRR9843903
SRR9843904	sra-paired:SRR9843904
SRR9843905	sra-paired:SRR9843905
SRR9843906	sra-paired:SRR9843906
SRR9843907	sra-paired:SRR9843907
SRR9843908	sra-paired:SRR9843908
SRR9843909	sra-paired:SRR9843909
SRR9843910	sra-paired:SRR9843910
SRR9843911	sra-paired:SRR9843911
SRR9843912	sra-paired:SRR9843912
SRR9843913	sra-paired:SRR9843913
SRR9843914	sra-paired:SRR9843914
SRR9843915	sra-paired:SRR9843915
SRR9843916	sra-paired:SRR9843916
SRR9843917	sra-paired:SRR9843917
SRR9843918	sra-paired:SRR9843918
SRR9843919	sra-paired:SRR9843919
SRR9843920	sra-paired:SRR9843920
SRR9843921	sra-paired:SRR9843921
SRR9843922	sra-paired:SRR9843922
SRR9843923	sra-paired:SRR9843923
SRR9843924	sra-paired:SRR9843924
SRR9843925	sra-paired:SRR9843925
SRR9843926	sra-paired:SRR9843926
SRR9843927	sra-paired:SRR9843927
SRR9843928	sra-paired:SRR9843928
SRR9843929	sra-paired:SRR9843929
SRR9843930	sra-paired:SRR9843930
SRR9843931	sra-paired:SRR9843931
SRR9843932	sra-paired:SRR9843932
SRR9843933	sra-paired:SRR9843933
SRR9843934	sra-paired:SRR9843934
SRR9843935	sra-paired:SRR9843935
SRR9843936	sra-paired:SRR9843936
SRR9843937	sra-paired:SRR9843937
SRR9843938	sra-paired:SRR9843938
SRR9843939	sra-paired:SRR9843939
SRR9843940	sra-paired:SRR9843940
SRR9843941	sra-paired:SRR9843941
SRR9843942	sra-paired:SRR9843942
SRR9843943	sra-paired:SRR9843943
SRR9843944	sra-paired:SRR9843944
SRR9843945	sra-paired:SRR9843945
SRR9843946	sra-paired:SRR9843946
SRR9843947	sra-paired:SRR9843947
SRR9843948	sra-paired:SRR9843948
SRR9843949	sra-paired:SRR9843949
SRR9843950	sra-paired:SRR9843950
SRR9843951	sra-paired:SRR9843951
SRR9843952	sra-paired:SRR9843952
SRR9843953	sra-paired:SRR9843953
SRR9843954	sra-paired:SRR9843954
SRR9843955	sra-paired:SRR9843955
SRR9843956	sra-paired:SRR9843956
SRR9843957	sra-paired:SRR9843957
SRR9843958	sra-paired:SRR9843958
SRR9843959	sra-paired:SRR9843959
SRR9843960	sra-paired:SRR9843960
SRR9843961	sra-paired:SRR9843961
SRR9843962	sra-paired:SRR9843962
SRR9843963	sra-paired:SRR9843963
SRR9843964	sra-paired:SRR9843964
SRR9843965	sra-paired:SRR9843965
SRR9843966	sra-paired:SRR9843966
SRR9843967	sra-paired:SRR9843967
SRR9843968	sra-paired:SRR9843968
SRR9843969	sra-paired:SRR9843969
SRR9843970	sra-paired:SRR9843970
SRR9843971	sra-paired:SRR9843971
SRR9843972	sra-paired:SRR9843972
SRR9843973	sra-paired:SRR9843973
SRR9843974	sra-paired:SRR9843974
SRR9843975	sra-paired:SRR9843975
SRR9843976	sra-paired:SRR9843976
SRR9843977	sra-paired:SRR9843977
SRR9843978	sra-paired:SRR9843978
SRR9843979	sra-paired:SRR9843979
SRR9843980	sra-paired:SRR9843980
SRR9843981	sra-paired:SRR9843981
SRR9843982	sra-paired:SRR9843982
SRR9843983	sra-paired:SRR9843983
SRR9843984	sra-paired:SRR9843984
SRR9843985	sra-paired:SRR9843985
SRR9843986	sra-paired:SRR9843986
SRR9843987	sra-paired:SRR9843987
SRR9843988	sra-paired:SRR9843988
SRR9843989	sra-paired:SRR9843989
SRR9843990	sra-paired:SRR9843990
SRR9843991	sra-paired:SRR9843991
SRR9843992	sra-paired:SRR9843992
SRR9843993	sra-paired:SRR9843993
SRR9843994	sra-paired:SRR9843994
SRR9843995	sra-paired:SRR9843995
SRR9843996	sra-paired:SRR9843996
SRR9843997	sra-paired:SRR9843997
SRR9843998	sra-paired:SRR9843998
SRR9843999	sra-paired:SRR9843999
SRR9844000	sra-paired:SRR9844000
SRR9844001	sra-paired:SRR9844001
SRR9844002	sra-paired:SRR9844002
