SRS11692649	sra-paired:SRR17643446
SRS11692648	sra-paired:SRR17643447
SRS11692647	sra-paired:SRR17643448
SRS11692646	sra-paired:SRR17643449
SRS11692645	sra-paired:SRR17643450
SRS11692644	sra-paired:SRR17643451
SRS11692643	sra-paired:SRR17643452
SRS11692642	sra-paired:SRR17643453
SRS11692641	sra-paired:SRR17643454
SRS11692640	sra-paired:SRR17643455
SRS11692639	sra-paired:SRR17643456
SRS11692638	sra-paired:SRR17643457
SRS11692637	sra-paired:SRR17643458
SRS11692636	sra-paired:SRR17643459
SRS11692635	sra-paired:SRR17643460
SRS11692634	sra-paired:SRR17643461
SRS11692633	sra-paired:SRR17643462
SRS11692632	sra-paired:SRR17643463
SRS11692631	sra-paired:SRR17643464
SRS11692630	sra-paired:SRR17643465
SRS11692629	sra-paired:SRR17643466
SRS11692628	sra-paired:SRR17643467
SRS11692627	sra-paired:SRR17643468
SRS11692626	sra-paired:SRR17643469
SRS11692625	sra-paired:SRR17643470
SRS11692624	sra-paired:SRR17643471
SRS11692623	sra-paired:SRR17643472
SRS11692622	sra-paired:SRR17643473
SRS11692621	sra-paired:SRR17643474
SRS11692620	sra-paired:SRR17643475
SRS11692619	sra-paired:SRR17643476
SRS11692618	sra-paired:SRR17643477
SRS11692617	sra-paired:SRR17643478
SRS11692616	sra-paired:SRR17643479
SRS11692615	sra-paired:SRR17643480
SRS11692614	sra-paired:SRR17643481
SRS11692613	sra-paired:SRR17643482
SRS11692612	sra-paired:SRR17643483
SRS11692611	sra-paired:SRR17643484
SRS11692610	sra-paired:SRR17643485
SRS11692609	sra-paired:SRR17643486
SRS11692608	sra-paired:SRR17643487
SRS11692607	sra-paired:SRR17643488
SRS11692606	sra-paired:SRR17643489
SRS11692605	sra-paired:SRR17643490
SRS11692604	sra-paired:SRR17643491
SRS11692603	sra-paired:SRR17643492
SRS11692602	sra-paired:SRR17643493
SRS11692601	sra-paired:SRR17643494
SRS11692600	sra-paired:SRR17643495
SRS11692599	sra-paired:SRR17643496
SRS11692598	sra-paired:SRR17643497
SRS11692597	sra-paired:SRR17643498
SRS11692596	sra-paired:SRR17643499
SRS11692595	sra-paired:SRR17643500
SRS11692594	sra-paired:SRR17643501
SRS11692593	sra-paired:SRR17643502
SRS11692592	sra-paired:SRR17643503
SRS11692591	sra-paired:SRR17643504
SRS11692590	sra-paired:SRR17643505
SRS11692589	sra-paired:SRR17643506
SRS11692588	sra-paired:SRR17643507
SRS11692587	sra-paired:SRR17643508
SRS11692586	sra-paired:SRR17643509
SRS11692585	sra-paired:SRR17643510
SRS11692584	sra-paired:SRR17643511
SRS11692583	sra-paired:SRR17643512
SRS11692582	sra-paired:SRR17643513
SRS11692581	sra-paired:SRR17643514
SRS11692580	sra-paired:SRR17643515
SRS11692579	sra-paired:SRR17643516
SRS11692578	sra-paired:SRR17643517
SRS11692577	sra-paired:SRR17643518
SRS11692576	sra-paired:SRR17643519
SRS11692574	sra-paired:SRR17643520
SRS11692575	sra-paired:SRR17643521
SRS11692573	sra-paired:SRR17643522
SRS11692572	sra-paired:SRR17643523
SRS11692571	sra-paired:SRR17643524
SRS11692570	sra-paired:SRR17643525
SRS11692569	sra-paired:SRR17643526
SRS11692568	sra-paired:SRR17643527
SRS11692567	sra-paired:SRR17643528
SRS11692566	sra-paired:SRR17643529
SRS11692565	sra-paired:SRR17643530
SRS11692564	sra-paired:SRR17643531
SRS11692563	sra-paired:SRR17643532
SRS11692562	sra-paired:SRR17643533
SRS11692561	sra-paired:SRR17643534
SRS11692560	sra-paired:SRR17643535
